title,type,release_date,label,producer,artists,lyrics,composers,arrangers,tracklist
ZERO : FEVER Part.1 [THANXX Ver.], Mini-Album,29/07/2020,KQ Entertainment,,ATEEZ,"BUDDY (compositeur),EDEN (chanteur),Hong Joong [ATEEZ],Isaac Han,LEEZ,Min Gi [ATEEZ],Oliv,Ollounder,Peperoni,Sophiya","BUDDY (compositeur),EDEN (chanteur),Hong Joong [ATEEZ],LEEZ,Oliv,Ollounder,Peperoni","BUDDY (compositeur),EDEN (chanteur),Hong Joong [ATEEZ],LEEZ,Oliv,Ollounder,Peperoni",
ZERO, Mini-Album,19/02/2014,PONY CANYON,,"clear,Nero [Nico Nico Douga]",,,,
ZERO, Single,06/11/2013,,Sony Music Entertainment Japan,MERRY (groupe),,,,
Zero, Album,20/12/2013,Asia Muse Entertainment,,Faith Yang,,,,
ZERO, Album,24/04/2013,Starchild Records,King Records,angela,atsuko [angela],"atsuko [angela],KATSU [angela]",KATSU [angela],
ZERO, Single,22/07/2001,,,KeiL,,,,
ZERO, Single,07/07/2010,,,ICe0AGe,,,,
ZERO, Album,26/04/2008,,,DOBERMAN INFINITY,,,,
ZERO, Album,22/09/2010,Daiki Sound,,DuelJewel,,,,
ZERO, Album,04/08/2010,EMI Music Japan,,FIRE BALL,,,,
Zero, Album,03/02/2010,Like an Edison Distribution,,hitotsume,,,,
Zero, Single,08/09/2007,,,Plastic Tree,Ryutaro [Plastic Tree],,,
ZERO, Single,28/10/2009,FAR EASTERN TRIBE RECORDS,Universal Music Japan (2),RIZE,,,,
ZERO, Single,07/10/1992,BMG Rooms,,B'z,,,,
ZERO, Album,03/09/2008,OTOKURA RECORD,,Amano Tsuki,,,,
Zero, Album,06/04/2001,,,Softball,,,,
ZERO, Album,09/1989,BMG Victor,,DEAD END,MORRIE [DEAD END],,,
Zero, Single,11/07/2007,NIPPON COLUMBIA (2010),,Fayray,,,,
Zeppet, Single,14/02/2007,Danger Crue Records,avex Marketing,Lion Heads,,,,
Zeoi San Jing Zoeng, Album,01/09/2001,Universal Music Hong Kong,,Cecilia Cheung,,,,
Zeoi Jyun Dik Keoi Lei, Digital Single,29/06/2020,The Voice Entertainment Group Limited,,Jinny Ng,,,,
Zeoi Jan, Album,15/09/2010,Universal Music Hong Kong,,Hacken Lee,,,,
Zeoi Hau Jat Ci Fan Sau, Digital Single,04/07/2016,The Voice Entertainment Group Limited,,Jinny Ng,,,,
Zenzen Tomodachi [Limited Edition], Single,23/05/2018,NBCUniversal Entertainment Japan,,Yamazaki Haruka,Yamamoto Me-co,,mononofrog_4sk,
Zenzen Tomodachi, Single,23/05/2018,NBCUniversal Entertainment Japan,,Yamazaki Haruka,Yamamoto Me-co,,mononofrog_4sk,
Zenzen Mondai Nee -No problem at all-, Digital Single,05/06/2020,,TuneCore Japan,CHOKE,,,,
Zenya, Mini-Album,05/03/2014,,,Ishikawa Chiaki,,,,
Zentaiteki ni Daisuki Desu., Single,27/06/2001,SPREE RECORD,UP-FRONT WORKS,Sheki-Dol,"Shindo Atsushi,Tsunku♂",,"Takahashi Yuichi (compositeur),Tsunku♂",
Zenshin Zenrei LIVES [Limited Edition], Single,02/11/2011,,,D=OUT,,,,
Zenshin Zenrei LIVES, Single,02/11/2011,,,D=OUT,,,,
ZENSHiN ZENREi, Digital Single,09/04/2021,avex trax,avex Entertainment (2),BiSH,,,,
Zenshin Zenrei, Digital Single,05/11/2020,SACRA MUSIC,Sony Music Labels,Saito Shuka,,,,
Zensen ni Tsugu, Album,13/07/2016,THE NINTH APOLLO,,Sayonara Poesie,,,,
Zensen, Digital Single,19/06/2019,TAKUMI NOTE,TEICHIKU ENTERTAINMENT,Higuchi Ai,,,,
Zenryoku☆Summer! [Limited Edition], Single,05/07/2017,King Records,King Records,angela,atsuko [angela],"atsuko [angela],KATSU [angela]",KATSU [angela],
Zenkyokushuu 2012, Best Album,05/10/2011,King Records,,Shiina Sachiko,"Asa Koyomi,Kinoshita Ryutaro,Niitani Toshiya,Yuuki Keiko",,"Ido Norio,Ikeda Takaharu,Maeda Toshiaki,Nango Tatsuya,Sakuraba Nobuyuki",
Zenkyokushuu 2011 [Cassette], Cassette audio,24/11/2010,NAYUTAWAVE RECORDS,Universal Music Japan (2),Utagawa Fumiko,"Kan Chinfa,Mizuki Kaoru (parolier),Ono Katsuhiko,Satomura Ryuichi,Teppo Mitsusaburo,Utagawa Fumiko","Endo Minoru,Kuni Hiroshi,Kyoda Seiichi,Miura Hiroaki (compositeur),Miyagawa Hiroshi (compositeur 2),Miyoshi Akio (compositeur),Oka Chiaki,Teppo Mitsusaburo","Ikeda Takaharu,Kyoda Seiichi,Maeda Toshiaki",
Zenkyokushuu 2011, Best Album,24/11/2010,NAYUTAWAVE RECORDS,Universal Music Japan (2),Utagawa Fumiko,"Kan Chinfa,Mizuki Kaoru (parolier),Ono Katsuhiko,Satomura Ryuichi,Teppo Mitsusaburo,Utagawa Fumiko","Endo Minoru,Kuni Hiroshi,Kyoda Seiichi,Miura Hiroaki (compositeur),Miyagawa Hiroshi (compositeur 2),Miyoshi Akio (compositeur),Oka Chiaki,Teppo Mitsusaburo","Ikeda Takaharu,Kyoda Seiichi,Maeda Toshiaki",
Zenkyokushuu 2010 [Cassette], Cassette audio,25/11/2009,NAYUTAWAVE RECORDS,Universal Music Japan (2),Utagawa Fumiko,"Miyagawa Hiroshi (compositeur 2),Ono Katsuhiko,Satomura Ryuichi,Wada Kenichi","Miura Hiroaki (compositeur),Miyagawa Hiroshi (compositeur 2),Oka Chiaki",Ikeda Takaharu,
Zenkyokushuu 2010, Best Album,25/11/2009,NAYUTAWAVE RECORDS,Universal Music Japan (2),Utagawa Fumiko,"Miyagawa Hiroshi (compositeur 2),Ono Katsuhiko,Satomura Ryuichi,Wada Kenichi","Miura Hiroaki (compositeur),Miyagawa Hiroshi (compositeur 2),Oka Chiaki",Ikeda Takaharu,
Zenkyokushuu 2009 [Cassette], Cassette audio,26/11/2008,NAYUTAWAVE RECORDS,Universal Music Japan (1),Utagawa Fumiko,"Izuka Yoshimi,Kan Chinfa,Mizuki Kaoru (parolier),Satomura Ryuichi,Suzuki Munetoshi,Utagawa Fumiko","Endo Minoru,Igarashi Yasuo,Kuni Hiroshi,Kyoda Seiichi,Miura Hiroaki (compositeur),Oka Chiaki","Ikeda Takaharu,Kyoda Seiichi,Maeda Toshiaki,Tadano Michiyasu",
Zenkyokushuu 2009, Best Album,26/11/2008,NAYUTAWAVE RECORDS,Universal Music Japan (1),Utagawa Fumiko,"Izuka Yoshimi,Kan Chinfa,Mizuki Kaoru (parolier),Satomura Ryuichi,Suzuki Munetoshi,Utagawa Fumiko","Endo Minoru,Igarashi Yasuo,Kuni Hiroshi,Kyoda Seiichi,Miura Hiroaki (compositeur),Oka Chiaki","Ikeda Takaharu,Kyoda Seiichi,Maeda Toshiaki,Tadano Michiyasu",
Zenkyokushuu 2008 [Cassette], Cassette audio,28/11/2007,NAYUTAWAVE RECORDS,Universal Music Japan (1),Utagawa Fumiko,"Izuka Yoshimi,Kamihara Yujiro,Satomura Ryuichi,Teppo Mitsusaburo,Utagawa Fumiko","Igarashi Yasuo,Kamihara Yujiro,Kuni Hiroshi,Miura Hiroaki (compositeur),Miyagawa Hiroshi (compositeur 2),Miyoshi Akio (compositeur),Oka Chiaki,Teppo Mitsusaburo","Ikeda Takaharu,Tadano Michiyasu",
Zenkyokushuu 2008, Best Album,28/11/2007,NAYUTAWAVE RECORDS,Universal Music Japan (1),Utagawa Fumiko,"Izuka Yoshimi,Kamihara Yujiro,Satomura Ryuichi,Teppo Mitsusaburo,Utagawa Fumiko","Igarashi Yasuo,Kamihara Yujiro,Kuni Hiroshi,Miura Hiroaki (compositeur),Miyagawa Hiroshi (compositeur 2),Miyoshi Akio (compositeur),Oka Chiaki,Teppo Mitsusaburo","Ikeda Takaharu,Tadano Michiyasu",
Zenkyokushuu 2007 [Cassette], Cassette audio,01/11/2006,UNIVERSAL J,Universal Music Japan (1),Utagawa Fumiko,"Futaki Yoko,Ide Haku,Izuka Yoshimi,Miyagawa Hiroshi (compositeur 2),Mizuki Kaoru (parolier),Satomura Ryuichi,Teppo Mitsusaburo,Utagawa Fumiko,Wada Kenichi","Endo Minoru,Igarashi Yasuo,Ikeda Takaharu,Kuni Hiroshi,Miura Hiroaki (compositeur),Miyagawa Hiroshi (compositeur 2),Miyoshi Akio (compositeur),Oka Chiaki,Teppo Mitsusaburo","Ikeda Takaharu,Maeda Toshiaki,Tadano Michiyasu",
Zenkyokushuu 2007, Best Album,01/11/2006,UNIVERSAL J,Universal Music Japan (1),Utagawa Fumiko,"Futaki Yoko,Ide Haku,Izuka Yoshimi,Miyagawa Hiroshi (compositeur 2),Mizuki Kaoru (parolier),Satomura Ryuichi,Teppo Mitsusaburo,Utagawa Fumiko,Wada Kenichi","Endo Minoru,Igarashi Yasuo,Ikeda Takaharu,Kuni Hiroshi,Miura Hiroaki (compositeur),Miyagawa Hiroshi (compositeur 2),Miyoshi Akio (compositeur),Oka Chiaki,Teppo Mitsusaburo","Ikeda Takaharu,Maeda Toshiaki,Tadano Michiyasu",
Zenkyokushuu 2007, Best Album,05/09/2007,King Records,,Shinno Mika,"Araki Toyohisa,Taka Takashi,Yoshioka Osamu","Oka Chiaki,Song Min Ho (compositeur)","Ido Norio,Ikeda Takaharu,Maeda Toshiaki,Maruyama Masahito,Tsuta Masakane",
Zenkyokushuu 2006, Best Album,06/09/2006,,,Shinno Mika,"Araki Toyohisa,Fukano Yoshikazu,Hoshino Tetsuro,Ishimoto Miyuki,Matsui Yurio,Taka Takashi,Takino Eiji,Yashiro Yo","Fukano Yoshikazu,Gen Tetsuya,Ichikawa Shosuke,Oka Chiaki,Sakurada Seiichi,Usui Koji","Baba Ryo,Ikeda Takaharu,Kyo Kensuke,Maeda Toshiaki,Nango Tatsuya,Nomura Yutaka,Saito Tsuneo,Tsuta Masakane",
Zenkyokushuu 2000 ~ Koborezuki, Best Album,21/09/2000,Nippon Columbia (1946),,Tagawa Toshimi,"Akimoto Yasushi,Hoshino Tetsuro,Mizuki Reiji,Sakaguchi Teruyuki,Satomura Ryuichi,Sugi Norihiko,Tagawa Toshimi,Takino Eiji,Yuuki Keiko","Goto Tsugutoshi,Oka Chiaki,Otani Meiyu,Sugi Norihiko,Suzuki Jun (compositeur),Tokuhisa Koji","Ikeda Takaharu,Maeda Toshiaki,Nango Tatsuya,Ryuzaki Koji",
Zenkyokushuu ~Yuuhi Saka / Tasogare no Hashi~, Album,21/11/2001,,,Miyako Harumi,"Hoshino Tetsuro,Ishimoto Miyuki,Sekizawa Shinichi,Shiratori Choei,Yoshioka Osamu","Gen Tetsuya,Ichikawa Shosuke,Inomata Kosho","Ichikawa Shosuke,Saito Tsuneo,Sakuraba Nobuyuki",
Zenkyokushuu ~Yume Jinsei~ [Cassette], Cassette audio,23/11/2005,UNIVERSAL J,Universal Music Japan (1),Utagawa Fumiko,"Endo Minoru,Ide Haku,Mizuki Kaoru (parolier),Satomura Ryuichi,Shirotori Sonoe,Suzuki Munetoshi,Utagawa Fumiko","Endo Minoru,Kuni Hiroshi,Miura Hiroaki (compositeur),Miyoshi Akio (compositeur),Oka Chiaki","Ikeda Takaharu,Maeda Toshiaki,Tadano Michiyasu",
Zenkyokushuu ~Yume Jinsei~, Best Album,23/11/2005,UNIVERSAL J,Universal Music Japan (1),Utagawa Fumiko,"Endo Minoru,Ide Haku,Mizuki Kaoru (parolier),Satomura Ryuichi,Shirotori Sonoe,Suzuki Munetoshi,Utagawa Fumiko","Endo Minoru,Kuni Hiroshi,Miura Hiroaki (compositeur),Miyoshi Akio (compositeur),Oka Chiaki","Ikeda Takaharu,Maeda Toshiaki,Tadano Michiyasu",
Zenkyokushuu ~Shinobu~, Album,21/10/1998,Nippon Columbia (1946),,Misora Hibari,"Fujita Masato,Fujiura Ko,Ishimoto Miyuki,Ozawa Fujio,Sekizawa Shinichi,Yoshioka Osamu","Hara Nobuo,Ichikawa Shosuke,Inoue Katsuo,Koga Masao,Manjome Tadashi,Uehara Gento,Yoneyama Masao","Asai Takaaki,Ikeda Takaharu,Inoue Daisuke (compositeur 1),Niki Takio,Saeki Makoto,Uehara Gento,Yoneyama Masao",
Zenkyokushuu ~Otou-san~ [Cassette], Cassette audio,25/02/2004,UNIVERSAL J,Universal Music Japan (1),Utagawa Fumiko,"Futaki Yoko,Miyagawa Hiroshi (compositeur 2),Satomura Ryuichi,Teppo Mitsusaburo,Utagawa Fumiko,Wada Kenichi","Goda Michito,Ikeda Takaharu,Kuni Hiroshi,Miyagawa Hiroshi (compositeur 2),Oka Chiaki,Teppo Mitsusaburo",Ikeda Takaharu,
Zenkyokushuu ~Otou-san~, Best Album,25/02/2004,UNIVERSAL J,Universal Music Japan (1),Utagawa Fumiko,"Futaki Yoko,Miyagawa Hiroshi (compositeur 2),Satomura Ryuichi,Teppo Mitsusaburo,Utagawa Fumiko,Wada Kenichi","Goda Michito,Ikeda Takaharu,Kuni Hiroshi,Miyagawa Hiroshi (compositeur 2),Oka Chiaki,Teppo Mitsusaburo",Ikeda Takaharu,
Zenkyokushuu ~Otoko Shunjuu~, Album,21/11/2001,,,Okawa Eisaku,Taka Takashi,,Saito Tsuneo,
Zenkyokushuu ~Otoko Iji (Tabaruzaka)・Fumiko no Teppou Bushi~ [Cassette], Cassette audio,24/10/2001,Polydor,Universal Music Japan (1),Utagawa Fumiko,"Endo Minoru,Ide Haku,Miyagawa Hiroshi (compositeur 2),Mizuki Kaoru (parolier),Satomura Ryuichi,Suzuki Munetoshi,Teppo Mitsusaburo,Utagawa Fumiko,Wada Kenichi","Endo Minoru,Kuni Hiroshi,Miyagawa Hiroshi (compositeur 2),Oka Chiaki,Teppo Mitsusaburo","Ikeda Takaharu,Maeda Toshiaki,Tadano Michiyasu",
Zenkyokushuu ~Otoko Iji (Tabaruzaka)・Fumiko no Teppou Bushi~, Best Album,24/10/2001,Polydor,Universal Music Japan (1),Utagawa Fumiko,"Endo Minoru,Ide Haku,Miyagawa Hiroshi (compositeur 2),Mizuki Kaoru (parolier),Satomura Ryuichi,Suzuki Munetoshi,Teppo Mitsusaburo,Utagawa Fumiko,Wada Kenichi","Endo Minoru,Kuni Hiroshi,Miyagawa Hiroshi (compositeur 2),Oka Chiaki,Teppo Mitsusaburo","Ikeda Takaharu,Maeda Toshiaki,Tadano Michiyasu",
Zenkyokushuu ~Midare Gami~, Album,21/11/1988,,,Misora Hibari,"Fujiura Ko,Hara Rokuro,Ishimoto Miyuki,Ogura Kei,Saito Daizo,Yoneyama Masao","Hara Rokuro,Koga Masao,Manjome Tadashi,Ogura Kei,Ryu Tetsuya,Uehara Gento,Yoneyama Masao","Fukuda Tadashi (arrangeur musical),Hara Rokuro,Kyo Kensuke,Niki Takio,Saeki Makoto,Uehara Gento,Wakakusa Kei",
Zenkyokushuu ~Kenchana~, Album,09/09/2009,Piccolo Town,King Records,Maeda Yuki (1979),Mori Chiyoko,,Yano Tatsumi,
Zenkyokushuu ~Kawachi~ [Cassette], Cassette audio,01/09/1999,Polydor,Universal Music Japan (1),Utagawa Fumiko,"Futaki Yoko,Kamihara Yujiro,Kuraoka Hiroko,Miyagawa Hiroshi (compositeur 2),Satomura Ryuichi,Utagawa Fumiko,Wada Kenichi","Ikeda Takaharu,Kamihara Yujiro,Miyagawa Hiroshi (compositeur 2),Oka Chiaki",Ikeda Takaharu,
Zenkyokushuu ~Kawachi~, Best Album,01/09/1999,Polydor,Universal Music Japan (1),Utagawa Fumiko,"Futaki Yoko,Kamihara Yujiro,Kuraoka Hiroko,Miyagawa Hiroshi (compositeur 2),Satomura Ryuichi,Utagawa Fumiko,Wada Kenichi","Ikeda Takaharu,Kamihara Yujiro,Miyagawa Hiroshi (compositeur 2),Oka Chiaki",Ikeda Takaharu,
Zenkyokushuu ~Jinseizaka~ [Cassette], Cassette audio,01/12/2004,UNIVERSAL J,Universal Music Japan (1),Utagawa Fumiko,"Miyagawa Hiroshi (compositeur 2),Satomura Ryuichi,Teppo Mitsusaburo,Utagawa Fumiko,Wada Kenichi","Goda Michito,Kuni Hiroshi,Miura Hiroaki (compositeur),Miyagawa Hiroshi (compositeur 2),Oka Chiaki,Teppo Mitsusaburo",Ikeda Takaharu,
Zenkyokushuu ~Jinseizaka~, Best Album,01/12/2004,UNIVERSAL J,Universal Music Japan (1),Utagawa Fumiko,"Miyagawa Hiroshi (compositeur 2),Satomura Ryuichi,Teppo Mitsusaburo,Utagawa Fumiko,Wada Kenichi","Goda Michito,Kuni Hiroshi,Miura Hiroaki (compositeur),Miyagawa Hiroshi (compositeur 2),Oka Chiaki,Teppo Mitsusaburo",Ikeda Takaharu,
Zenkyokushuu ~Haha Toudai~ [Cassette], Cassette audio,25/08/1993,Taurus Records,Toshiba EMI,Utagawa Fumiko,"Endo Minoru,Ide Haku,Mizuki Kaoru (parolier),Shirotori Sonoe,Suzuki Munetoshi,Utagawa Fumiko",,"Maeda Toshiaki,Tadano Michiyasu",
Zenkyokushuu ~Haha Toudai~, Best Album,25/08/1993,Taurus Records,Toshiba EMI,Utagawa Fumiko,"Endo Minoru,Ide Haku,Mizuki Kaoru (parolier),Suzuki Munetoshi,Utagawa Fumiko",,"Maeda Toshiaki,Tadano Michiyasu",
Zenkyokushuu ~Edo no Hana~ [Cassette], Cassette audio,21/10/2000,Polydor,Universal Music Japan (1),Utagawa Fumiko,"Futaki Yoko,Kuraoka Hiroko,Miyagawa Hiroshi (compositeur 2),Satomura Ryuichi,Utagawa Fumiko,Wada Kenichi","Ikeda Takaharu,Miyagawa Hiroshi (compositeur 2),Oka Chiaki",Ikeda Takaharu,
Zenkyokushuu ~Edo no Hana~, Best Album,21/10/2000,Polydor,Universal Music Japan (1),Utagawa Fumiko,"Futaki Yoko,Kuraoka Hiroko,Miyagawa Hiroshi (compositeur 2),Satomura Ryuichi,Utagawa Fumiko,Wada Kenichi","Ikeda Takaharu,Miyagawa Hiroshi (compositeur 2),Oka Chiaki",Ikeda Takaharu,
zenkai no uta, Single,16/06/2010,LD&K Records,,Kariyushi58,,,,
Zenkai no LGMonkees koto Yamazaru desu., Album,16/03/2011,Epic Records Japan,Sony Music Entertainment Japan,LGMonkees,LGMonkees,,HIRO [LGYankees],
Zenkai Made no Arasuji, Album,18/01/2019,,,Tensai.,,,,
Zenka Gokusai, Album,29/12/2009,,,Paraoka (cercle doujin),,,,
Zenjin Mitou Frontier [Type D], Single,03/03/2021,B.P.RECORDS,Tower Records (Japon),BabyKingdom,,,,
Zenjin Mitou Frontier [Type C], Single,03/03/2021,B.P.RECORDS,Tower Records (Japon),BabyKingdom,,,,
Zenjin Mitou Frontier [Limited Edition / Type B], Single,03/03/2021,B.P.RECORDS,Tower Records (Japon),BabyKingdom,,,,
Zenjin Mitou Frontier [Limited Edition / Type A], Single,03/03/2021,B.P.RECORDS,Tower Records (Japon),BabyKingdom,,,,
ZENITH [Limited Edition], Album,02/08/2017,USM Japan,Universal Music Japan (2),PassCode,,,,
ZENITH [2LP Limited Edition], Long play,20/12/2017,USM Japan,Universal Music Japan (2),PassCode,,,,
ZENITH, Album,02/08/2017,USM Japan,Universal Music Japan (2),PassCode,,,,
ZENITH, Album,18/07/2011,,,VERTEX,,,,
Zenin Yuushou [Limited Edition], Album,18/03/2015,Victor Music Arts,Victor Music Arts,Higuchi Ai,,,,
Zenin Yuushou, Album,18/03/2015,Victor Music Arts,Victor Music Arts,Higuchi Ai,,,,
Zeni no Dai Sansha, Album,02/12/1992,Ki/oon Sony Records,Sony Music Entertainment Japan,Magokoro Brothers,,,,
zeneknowsyouwannit, Digital Single,18/06/2018,YOUNG THUGS CLUB,Luminant Entertainment,ZENE THE ZILLA,,,,
Zene Bout Sweetness, Digital Single,29/10/2015,A.D.#.D,Luminant Entertainment,ZNSY,,,,
ZENE BOUT HOMETOWN, Digital Single,29/12/2015,A.D.#.D,Luminant Entertainment,ZNSY,,,,
Zendai Mimon ☆ Miracle Change, Single,21/07/2011,,,Nakahara Mai (seiyu),,,,
Zenchou Ban, Single,08/08/2006,,,Video Glamour,,,,
Zenchi Zenno [Limited Edition], Album,08/11/2017,UNIVERSAL SIGMA,Universal Music Japan (2),POLKADOT STINGRAY,,,,
Zenchi Zenno [Limited Edition + T-shirt], Album,08/11/2017,UNIVERSAL SIGMA,Universal Music Japan (2),POLKADOT STINGRAY,,,,
Zenchi Zenno, Album,08/11/2017,UNIVERSAL SIGMA,Universal Music Japan (2),POLKADOT STINGRAY,,,,
Zenbu., Digital Single,11/03/2020,EMI Records,Universal Music Japan (2),Inoue Sonoko,,,,
Zenbu! Pucchimoni, Album,21/08/2002,zetima,Sony Music Entertainment Japan,Petitmoni V,Tsunku♂,,"Konishi Takao,Suzuki Shunsuke (compositeur)",
"Zenbu, Naisho. [Type C]", Album,12/05/2021,SACRA MUSIC,Sony Music Labels,=LOVE,Sashihara Rino,"APAZZI,ArmySlick,Daisy.O,Gemie,Giz'Mo,Honzawa Naoyuki,Imai Hiroshi,Isozaki Takeshi,Ito Ryo (compositeur),Kato Yamato,Kikuchi Ryou,Kokubo Yuki,Muroya Yumi,Nagano Saori,Nagasawa Chiaki,Nimbari Yosuke,SUEKIKI,The Answer,Tomoyuki Tajiri,Tsukada Kohei,Tsuru Yuichiro,Watanabe Hisashi,YHANAEL,YUU for YOU","APAZZI,ArmySlick,Furukawa Takahiro,Honzawa Naoyuki,Kurauchi Tatsuya,Nimbari Yosuke,Shimizu Teppei,The Answer,Tomoyuki Tajiri,Wakatabe Makoto,Yuasa Atsushi,YUU for YOU",
"Zenbu, Naisho. [Special Edition]", Digital Album,12/05/2021,SACRA MUSIC,Sony Music Labels,=LOVE,Sashihara Rino,"APAZZI,ArmySlick,Daisy.O,Gemie,Giz'Mo,Hara Kazuhiro (compositeur),Honzawa Naoyuki,Imai Hiroshi,Isozaki Takeshi,Ito Ryo (compositeur),Kato Yamato,Kikuchi Ryou,Kokubo Yuki,Muroya Yumi,Nagano Saori,Nagasawa Chiaki,Nimbari Yosuke,SUEKIKI,Tanabe Nozomi,The Answer,Tomoyuki Tajiri,Tsukada Kohei,Tsuru Yuichiro,Watanabe Hisashi,YHANAEL,Yuki Shinichi (compositeur),YUU for YOU","APAZZI,ArmySlick,Furukawa Takahiro,Hara Kazuhiro (compositeur),Honzawa Naoyuki,Kurauchi Tatsuya,Nimbari Yosuke,Shimizu Teppei,The Answer,Tomoyuki Tajiri,Wakatabe Makoto,Yuasa Atsushi,Yuki Shinichi (compositeur),YUU for YOU",
"Zenbu, Naisho. [Limited Edition / Type B]", Album,12/05/2021,SACRA MUSIC,Sony Music Labels,=LOVE,Sashihara Rino,"APAZZI,ArmySlick,Daisy.O,Gemie,Giz'Mo,Hara Kazuhiro (compositeur),Honzawa Naoyuki,Imai Hiroshi,Isozaki Takeshi,Ito Ryo (compositeur),Kato Yamato,Kikuchi Ryou,Kokubo Yuki,Muroya Yumi,Nagano Saori,Nagasawa Chiaki,Nimbari Yosuke,SUEKIKI,The Answer,Tomoyuki Tajiri,Tsukada Kohei,Tsuru Yuichiro,Watanabe Hisashi,YHANAEL,YUU for YOU","APAZZI,ArmySlick,Furukawa Takahiro,Hara Kazuhiro (compositeur),Honzawa Naoyuki,Kurauchi Tatsuya,Nimbari Yosuke,Shimizu Teppei,The Answer,Tomoyuki Tajiri,Wakatabe Makoto,Yuasa Atsushi,YUU for YOU",
"Zenbu, Naisho. [Limited Edition / Type A]", Album,12/05/2021,SACRA MUSIC,Sony Music Labels,=LOVE,Sashihara Rino,"APAZZI,ArmySlick,Daisy.O,Gemie,Giz'Mo,Honzawa Naoyuki,Imai Hiroshi,Isozaki Takeshi,Ito Ryo (compositeur),Kato Yamato,Kikuchi Ryou,Kokubo Yuki,Muroya Yumi,Nagano Saori,Nagasawa Chiaki,Nimbari Yosuke,SUEKIKI,The Answer,Tomoyuki Tajiri,Tsukada Kohei,Tsuru Yuichiro,Watanabe Hisashi,YHANAEL,Yuki Shinichi (compositeur),YUU for YOU","APAZZI,ArmySlick,Furukawa Takahiro,Honzawa Naoyuki,Kurauchi Tatsuya,Nimbari Yosuke,Shimizu Teppei,The Answer,Tomoyuki Tajiri,Wakatabe Makoto,Yuasa Atsushi,Yuki Shinichi (compositeur),YUU for YOU",
Zenbu Uso da yo., Demo Tape,05/05/2011,,,ITSUE,,,,
Zenbu Suki. [Limited Edition], Single,20/07/2011,MASTERSIX FOUNDATION,Sony Music Entertainment Japan,Kamiji Yusuke,Kamiji Yusuke,"Ichikawa Yoshiyasu,Kamiji Yusuke",CHOKKAKU,
Zenbu Suki., Single,20/07/2011,MASTERSIX FOUNDATION,Sony Music Entertainment Japan,Kamiji Yusuke,Kamiji Yusuke,"Ichikawa Yoshiyasu,Kamiji Yusuke",CHOKKAKU,
Zenbu Seishun! / Angel Enjite 20nen, Single,07/08/2018,T-Palette Records,,Up Up Girls (2),,,,
Zenbu Kudaranei., Digital Mini-Album,28/09/2019,Hentai Gorizal Records,TuneCore Japan,Takayan,,,,
Zen, Album,24/01/2001,Sony Records,,DJ KRUSH,,,,
Zelos [Kihno Music Card], Music Card,19/04/2016,Jellyfish Entertainment,CJ E&M,VIXX,"Kim Ji Hyang (compositrice),Kim Su Jeong (parolière 1),Misfit,Ravi [VIXX]","Andrew Choi,Fascinating,Keeproots,Melodesign,Simon Janlöv","Keeproots,Melodesign,Simon Janlöv",
Zelos, Single,19/04/2016,Jellyfish Entertainment,CJ E&M,VIXX,"Kim Ji Hyang (compositrice),Kim Su Jeong (parolière 1),Misfit,Ravi [VIXX]","Andrew Choi,Fascinating,Keeproots,Melodesign,Simon Janlöv","Keeproots,Melodesign,Simon Janlöv",
ZELM [Limited Edition], Album,27/02/2019,B.P.RECORDS,BM.3 Music,Zero [Hz],,,,
ZELM, Album,27/02/2019,B.P.RECORDS,BM.3 Music,Zero [Hz],,,,
ZELIACORT, Demo Tape,1992,,,ZELIACORT,,,,
ZELGA, Album,14/03/2012,Daiki Sound,,ZELGA,,,,
ZELDA, Album,25/08/1982,,,ZELDA,,,,
Zekuu [Limited Edition], Album,03/09/2003,UNIVERSAL GEAR,Universal Music Japan (1),MUCC,,,,
Zekuu, Single,01/04/2000,,,Lamiel,,,,
Zekuu, Album,03/09/2003,UNIVERSAL GEAR,Universal Music Japan (1),MUCC,,,,
Zekkyou! [Limited Edition], Mini-Album,17/08/2016,GOEMON RECORDS,,Pentagon (Japon),Yutori [Pentagon],,,
Zekkyou!, Mini-Album,17/08/2016,GOEMON RECORDS,,Pentagon (Japon),Yutori [Pentagon],,,
Zekkyou Serenade / Tada Kaze to Taiyou, Digital Single,07/08/2020,Sony Records,Sony Music Labels,sumika,,,,
Zekkyou Serenade, Digital Single,29/07/2020,Sony Records,Sony Music Labels,sumika,,,,
ZEKKYOU PSYCHOPATH, DVD,28/01/2004,Free-Will,,kagerou,Daisuke (visual-kei),,,
Zekkyou Machine, Single,09/09/1998,SPE Visual Works,Sony Music Entertainment Japan,Mitsuishi Kotono,,,,
Zekkyou Irony [Pan no Maru wo Tenten ni Kaetera Edition], Single,04/09/2018,Riostar Records,,Jack Caper,,,,
Zekkyou Irony [Karee Minami Edition], Single,04/09/2018,Riostar Records,,Jack Caper,,,,
Zekkyou Irony [Chikin Minami Edition], Single,04/09/2018,Riostar Records,,Jack Caper,,,,
Zekkyo Midare Rally Land, Album,25/11/2009,,,RECORIDE,,,,
Zekko Etsuraku Ron [Limited Edition], Single,13/04/2011,Free-Will,,BugLug,Issei [BugLug],,,
Zekko Etsuraku Ron, Single,13/04/2011,Resistar Records,,BugLug,Issei [BugLug],,,
Zekkeishoku, Album,26/04/2006,PS COMPANY,King Records,alice nine.,,,,
